"tripduration","start_time","end_time","start station id","start station name","start station latitude","start station longitude","end station id","end station name","end station latitude","end station longitude","bikeid","usertype","birth year","gender","bike type"
597,"2019-04-22 19:09:02.3580","2019-04-22 19:18:59.4890",120,"Washington Ave SE & Union Street SE",44.97394,-93.2321,204,"SE 7th Street & 10th Ave SE",44.985576,-93.238743,1355,"Subscriber",1992,1,"Classic"
563,"2019-04-22 19:10:24.2480","2019-04-22 19:19:47.4500",34,"Franklin & 11th Ave",44.96256895253962,-93.25830459594727,10,"Midtown Exchange",44.94859,-93.2602,1924,"Customer",1964,1,"Classic"
304,"2019-04-22 19:13:53.4270","2019-04-22 19:18:58.4250",190,"Weisman Art Museum",44.973428353028844,-93.23731899261473,35,"Oak Street Ramp",44.971931215806364,-93.22697639465332,1954,"Customer",1996,1,"Classic"
535,"2019-04-22 19:15:34.3260","2019-04-22 19:24:30.0740",92,"6th Ave SE & University Ave",44.983281,-93.24812,191,"Park Ave & 4th Street S",44.97590736693741,-93.260061442852,1033,"Customer",1989,1,"Classic"
429,"2019-04-22 19:20:03.0320","2019-04-22 19:27:12.7710",27,"Williamson Hall",44.977406,-93.234911,204,"SE 7th Street & 10th Ave SE",44.985576,-93.238743,398,"Customer",1998,1,"Classic"
2357,"2019-04-22 19:26:07.8860","2019-04-22 20:05:25.5230",10,"Midtown Exchange",44.94859,-93.2602,180,"Lake Street & Knox Ave S",44.94870255723884,-93.30621153116226,1924,"Customer",1964,1,"Classic"
919,"2019-04-22 19:27:55.6460","2019-04-22 19:43:15.4000",198,"5th Street NE & 3rd Ave NE",44.991914491349455,-93.25579941272736,8,"YWCA Downtown",44.972217,-93.276435,1299,"Subscriber",1986,1,"Classic"
1274,"2019-04-22 19:37:16.6490","2019-04-22 19:58:31.2220",19,"Lyndale Ave S & 22nd Street ",44.9608172131794,-93.28814283013344,85,"Midtown YWCA",44.94823,-93.24054,880,"Customer",1969,0,"Classic"
359,"2019-04-22 19:42:21.5580","2019-04-22 19:48:20.8560",196,"Groveland Ave & Clifton Place",44.966145,-93.286294,51,"Dupont Ave S & 22nd Street",44.96144162045103,-93.29303517937659,1707,"Customer",1957,1,"Classic"
99,"2019-04-22 19:49:46.8730","2019-04-22 19:51:26.7290",26,"Coffman Union",44.973378,-93.234762,190,"Weisman Art Museum",44.973428353028844,-93.23731899261473,1710,"Subscriber",1986,1,"Classic"
147,"2019-04-22 19:52:33.1890","2019-04-22 19:55:00.7960",190,"Weisman Art Museum",44.973428353028844,-93.23731899261473,209,"Willey Hall",44.972404,-93.242891,1710,"Subscriber",1986,1,"Classic"
980,"2019-04-22 19:52:39.6920","2019-04-22 20:09:00.1750",23,"2nd Ave N & Washington Ave N",44.983800030709666,-93.27103167772293,169,"Marshall Street NE & 18th Ave NE",45.006229,-93.271571,532,"Customer",1993,2,"Classic"
